hedId	rdfs:label	Level	omn:SubClassOf	Attributes	dc:description
HED_0042045	Background-activity	0	HedTag	annotation=dc:source Beniczky ea 2017  Table 2.	An EEG activity representing the setting in which a given normal or abnormal pattern appears and from which such pattern is distinguished.
HED_0042046	Posterior-dominant-rhythm	1	Background-activity	"suggestedTag=Feature-significance-to-recording, suggestedTag=Feature-frequency, suggestedTag=Posterior-dominant-rhythm-property, annotation=dc:source Beniczky ea 2013 Appendix S2, annotation=dc:source suggested tags from Beniczky ea 2017 Table 4."	"Rhythmic activity occurring during wakefulness over the posterior regions of the head, generally with maximum amplitudes over the occipital areas. Amplitude varies. Best seen with eyes closed and during physical relaxation and relative mental inactivity. Blocked or attenuated by attention, especially visual, and mental effort. In adults this is the alpha rhythm, and the frequency is 8 to 13 Hz. However the frequency can be higher or lower than this range (often a supra or sub harmonic of alpha frequency) and is called alpha variant rhythm (fast and slow alpha variant rhythm). In children, the normal range of the frequency of the posterior dominant rhythm is age-dependant. "
HED_0042047	Mu-rhythm	1	Background-activity	"suggestedTag=Feature-frequency, suggestedTag=Feature-significance-to-recording, suggestedTag=Categorical-location-value, suggestedTag=Sensor-list, annotation=dc:source Beniczky ea 2013 Appendix S2."	"EEG rhythm at 7-11 Hz composed of arch-shaped waves occurring over the central or centro-parietal regions of the scalp during wakefulness. Amplitudes varies but is mostly below 50 microV. Blocked or attenuated most clearly by contralateral movement, thought of movement, readiness to move or tactile stimulation."
HED_0042048	Other-organized-rhythm	1	Background-activity	"requireChild, suggestedTag=Rhythmic-property, suggestedTag=Feature-significance-to-recording, suggestedTag=Categorical-location-value, suggestedTag=Sensor-list, suggestedTag=Appearance-mode, suggestedTag=Discharge-pattern, annotation=dc:source Beniczky ea 2013 Appendix S2."	"EEG activity consisting of waves of approximately constant period that are considered part of the background (ongoing) activity, but do not fulfill the criteria of the posterior dominant rhythm."
HED_0042049	Other-organized-rhythm-#	2	Other-organized-rhythm	"takesValue, valueClass=textClass"	Free text.
HED_0042050	Background-activity-special-feature	1	Background-activity		"Special features provide scoring options for the background activity of critically ill patients. (Source: Beniczky ea 2017, Section 6.)"
HED_0042051	Continuous-background-activity	2	Background-activity-special-feature	"suggestedTag=Rhythmic-property, suggestedTag=Categorical-location-value, suggestedTag=Sensor-list, annotation=dc:source Beniczky ea 2017 Section 6."	
HED_0042052	Nearly-continuous-background-activity	2	Background-activity-special-feature	"suggestedTag=Rhythmic-property, suggestedTag=Categorical-location-value, suggestedTag=Sensor-list, annotation=dc:source Beniczky ea 2017 Section 6."	
HED_0042053	Discontinuous-background-activity	2	Background-activity-special-feature	"suggestedTag=Rhythmic-property, suggestedTag=Categorical-location-value, suggestedTag=Sensor-list, annotation=dc:source Beniczky ea 2017 Section 6."	
HED_0042054	Background-burst-suppression	2	Background-activity-special-feature	"suggestedTag=Categorical-location-value, suggestedTag=Sensor-list, annotation=dc:source Beniczky ea 2013 Appendix S2, annotation=dc:source Beniczky ea 2017 Section 6."	EEG pattern consisting of bursts (activity appearing and disappearing abruptly) interrupted by periods of low amplitude (below 20 microV). This pattern occurs simultaneously over all head regions. 
HED_0042055	Background-burst-attenuation	2	Background-activity-special-feature	"suggestedTag=Categorical-location-value, suggestedTag=Sensor-list, annotation=dc:source Beniczky ea 2017 Section 6."	
HED_0042056	Background-activity-suppression	2	Background-activity-special-feature	"suggestedTag=Categorical-location-value, suggestedTag=Sensor-list, suggestedTag=Appearance-mode, annotation=dc:source Beniczky ea 2013 Appendix S2, annotation=dc:source Beniczky ea 2017 Section 6."	Periods showing activity under 10 microV (referential montage) and interrupting the background (ongoing) activity. 
HED_0042057	Electrocerebral-inactivity	2	Background-activity-special-feature	"annotation=dc:source Beniczky ea 2013 Appendix S2, annotation=dc:source Beniczky ea 2017 Section 6."	Absence of any ongoing cortical electric activities; in all leads EEG is isoelectric or only contains artifacts. Sensitivity has to be increased up to 2 microV/mm; recording time: at least 30 minutes.
HED_0042058	Critically-ill-patient-patterns	0	HedTag	"annotation=dc:source Hirsch ea 2013, annotation=dc:source Beniczky ea 2017 Section 9."	Rhythmic or periodic patterns in critically ill patients (RPPs) are scored according to the 2012 version of the American Clinical Neurophysiology Society Standardized Critical Care EEG Terminology.
HED_0042059	Critically-ill-patient-periodic-discharges	1	Critically-ill-patient-patterns	"suggestedTag=RPP-morphology, suggestedTag=Categorical-location-value, suggestedTag=Sensor-list, suggestedTag=Feature-frequency, suggestedTag=RPP-time-related-feature, annotation=dc:source Hirsch ea 2013, annotation=dc:source Suggested tags from Beniczky ea 2017 Table 8."	Periodic discharges (PDs): Periodic - repetition of a waveform with relatively uniform morphology and duration with a quantifiable inter-discharge interval between consecutive waveforms and recurrence of the waveform at nearly regular intervals.
HED_0042060	Rhythmic-delta-activity	1	Critically-ill-patient-patterns	"suggestedTag=RPP-with-superimposed-activity, suggestedTag=RPP-absolute-amplitude, suggestedTag=Categorical-location-value, suggestedTag=Sensor-list, suggestedTag=Feature-frequency, suggestedTag=RPP-time-related-feature, annotation=dc:source Hirsch ea 2013, annotation dc:source Suggested tags from Beniczky ea 2017 Table 8."	"Rhythmic Delta Activity (RDA): Rhythmic - repetition of a waveform with relatively uniform morphology and duration, and without an interval between consecutive waveforms. RDA - rhythmic activity less than or equal to 4 Hz. The duration of one cycle (i.e., the period) of the rhythmic pattern should vary by less than 50 percent from the duration of the subsequent cycle for the majority (greater than 50 percent) of cycle pairs to qualify as rhythmic. (Source: Hirsch ea 2013; Suggested tags from Beniczky ea 2017, Table 8.)"
HED_0042061	Spike-or-sharp-and-wave	1	Critically-ill-patient-patterns	"suggestedTag=RPP-sharpness, suggestedTag=Number-of-RPP-phases, suggestedTag=Triphasic-morphology, suggestedTag=RPP-absolute-amplitude, suggestedTag=RPP-relative-amplitude, suggestedTag=RPP-polarity, suggestedTag=Categorical-location-value, suggestedTag=Sensor-list, suggestedTag=Multifocal-feature, suggestedTag=Feature-frequency, suggestedTag=RPP-time-related-feature, annotation=dc:source Hirsch ea 2013, annotation=dc:source Suggested tags from Beniczky ea 2017 Table 8."	"Spike-and-wave or Sharp-and-wave (SW) - polyspike, spike or sharp wave consistently followed by a slow wave in a regularly repeating and alternating pattern (spike-wave-spike-wave-spike-wave), with a consistent relationship between the spike (or polyspike or sharp wave) component and the slow wave; and with no interval between one spike-wave complex and the next (if there is an interval, this would qualify as PDs, where each discharge is a spike-and- wave)."
HED_0042062	Episode	0	HedTag	annotation=dc:source Beniczky ea 2013 Appendix S1.	Clinical episode or electrographic seizure.
HED_0042063	Epileptic-seizure	1	Episode	"suggestedTag=Episode-consciousness-affected, suggestedTag=Episode-awareness, suggestedTag=Episode-prodrome, suggestedTag=Episode-tongue-biting, annotation=dc:source  Beniczky ea 2017 Table 9 Supplement 1, annotation=dc:source Selection-tree and list of seizure-types according to the current ILAE seizure classification Fisher ea 2017."	"The ILAE seizure classification divides seizures into focal, generalized onset, or unknown onset."
HED_0042064	Focal-onset-epileptic-seizure	2	Epileptic-seizure	"suggestedTag=Automatism-seizure, suggestedTag=Atonic-seizure, suggestedTag=Clonic-seizure, suggestedTag=Epileptic-spasm, suggestedTag=Hyperkinetic-seizure, suggestedTag=Myoclonic-seizure, suggestedTag=Tonic-seizure, suggestedTag=Autonomic-seizure, suggestedTag=Behavior-arrest-seizure, suggestedTag=Cognitive-seizure, suggestedTag=Emotional-seizure, suggestedTag=Sensory-seizure, annotation=dc:source Fisher ea 2017 Table 2 and Key Points, annotation=dc:source Suggested tags from Fisher ea 2017 Figure 2, annotation=dc:source Beniczky ea 2017 Supplement 1, annotation=dc:source ILAE seizure classification code I."	A focal seizure originates within networks limited to one hemisphere. They may be discretely localized or more widely distributed. Focal seizures may originate in subcortical structures. Focal seizures are optionally subdivided into focal aware and focal impaired awareness seizures. Specific motor and nonmotor classifiers may be added.
HED_0042065	Aware-focal-onset-epileptic-seizure	3	Focal-onset-epileptic-seizure	"annotation=dc:source  Fisher ea 2017 Table 2 and Key Points, annotation=dc:source  Suggested tags from Fisher ea 2017 Figure 2, annotation=dc:source  Beniczky ea 2017 Supplement 1, annotation=dc:source  ILAE seizure classification code I."	"Focal onset and maintained awareness (knowledge of self or environment). (Source: Fisher ea 2017, Table 2; Beniczky ea 2017, Supplement 1, ILAE seizure classification code  I.A.)"
HED_0042066	Impaired-awareness-focal-onset-epileptic-seizure	3	Focal-onset-epileptic-seizure	"annotation=c:source Fisher ea 2017 Table 2, annotation=c:source Beniczky ea 2017 Supplement 1, annotation=c:source ILAE seizure classification code I.B."	"Focal onset and impaired or lost awareness (knowledge of self or environment) is a feature of focal impaired awareness seizures, previously called complex partial seizures. "
HED_0042067	Awareness-unknown-focal-onset-epileptic-seizure	3	Focal-onset-epileptic-seizure	"annotation=dc:source Fisher ea 2017 Table 2, annotation=dc:source Beniczky ea 2017 Supplement 1, annotation=dc:source ILAE seizure classification code I.C."	Focal onset and awareness (knowledge of self or environment) unknown or not specified.
HED_0042068	Focal-to-bilateral-tonic-clonic-focal-onset-epileptic-seizure	3	Focal-onset-epileptic-seizure	"annotation=dc:source Fisher ea 2017 Table 2, annotation=dc:source  Beniczky ea 2017 Supplement 1, annotation=dc:source ILAE seizure classification code  I.D.01."	"A seizure type with focal onset, with awareness or impaired awareness, either motor or non-motor, progressing to bilateral tonic clonic activity. The prior term was seizure with partial onset with secondary generalization."
HED_0042069	Generalized-onset-epileptic-seizure	2	Epileptic-seizure	"suggestedTag=Tonic-clonic-seizure, suggestedTag=Clonic-seizure, suggestedTag=Tonic-seizure, suggestedTag=Myoclonic-seizure, suggestedTag=Myoclonic-tonic-clonic-seizure, suggestedTag=Myoclonic-atonic-seizure, suggestedTag=Atonic-seizure, suggestedTag=Epileptic-spasm, suggestedTag=Typical-absence-seizure, suggestedTag=Atypical-absence-seizure, suggestedTag=Myoclonic-absence-seizure, suggestedTag=Eyelid-myoclonia-seizure, annotation=dc:source Fisher ea 2017 Table 2 and Key Points, annotation=dc:source Suggested tags from Fisher ea 2017 Figure 2, annotation=dc:source Beniczky ea 2017 Supplement 1, annotation=dc:source ILAE seizure classification code II."	"Generalized seizures originate at some point within, and rapidly engaging, bilaterally distributed networks. Generalized onset seizures can be motor: tonic clonic, clonic, tonic, myoclonic, myoclonic tonic clonic, myoclonic atonic, atonic, and epileptic spasms. Generalized onset seizures can also be nonmotor (absence): typical absence, atypical absence, myoclonic absence, or absence with eyelid myoclonia. (Source: Fisher ea 2017, Table 2 and Key Points; Suggested tags from Fisher ea 2017, Figure 2; Beniczky ea 2017, Supplement 1, ILAE seizure classification code II.)"
HED_0042070	Unknown-onset-epileptic-seizure	2	Epileptic-seizure	"suggestedTag=Tonic-clonic-seizure, suggestedTag=Epileptic-spasm, suggestedTag=Behavior-arrest-seizure, annotation=dc:source Fisher ea 2017 page 532,  annotation=dc:source Suggested tags from Fisher ea 2017 Figure 2,  annotation=dc:source Beniczky ea 2017 Supplement 1,  annotation=dc:source ILAE seizure classification code III."	"A seizure of unknown onset may still evidence certain defining motor (e.g., tonic clonic) or nonmotor (e.g., behavior arrest) characteristics. With further information or future observed seizures, a reclassification of unknown-onset seizures into focal or generalized-onset categories may become possible. Therefore, ?Ç£unknown-onset?Ç¥ is not a characteristic of the seizure, but a convenient placeholder for our ignorance."
HED_0042071	Unclassified-epileptic-seizure	3	Unknown-onset-epileptic-seizure	"annotation=dc:source Fisher ea 2017 Table 2, annotation=dc:source Beniczky ea 2017 Supplement 1, annotation=dc:source ILAE seizure classification code  III.C.01."	Referring to a seizure type that cannot be described by the ILAE 2017 classification either because of inadequate information or unusual clinical features. 
HED_0042072	Electroencephalographic-seizure	1	Episode	"suggestedTag=Episode-consciousness-affected, suggestedTag=Episode-awareness, suggestedTag=Episode-prodrome, suggestedTag=Episode-tongue-biting, annotation=dc:source Beniczky ea 2013 Appendix S5, annotation=dc:source Beniczky ea 2017 Table 9."	"Refers usually to non convulsive status. Ictal EEG: rhythmic discharge or spike and wave pattern with definite evolution in frequency, location, or morphology lasting at least 10 s; evolution in amplitude alone did not qualify."
HED_0042073	Seizure-PNES	1	Episode	"suggestedTag=Feature-significance-to-recording, suggestedTag=Episode-consciousness-affected, suggestedTag=Episode-awareness, suggestedTag=Episode-prodrome, suggestedTag=Episode-tongue-biting, annotation=dc:source Beniczky ea 2013 Appendix S5, annotation=dc:source Beniczky ea 2017 Table 9."	"Psychogenic non-epileptic seizure. Paroxysmal events that mimic (or are confused with) epileptic seizures, but which do not result from epileptic activity; they lack the EEG ictal features during the ictus. (Source: Beniczky ea 2013, Appendix S5; Beniczky ea 2017, Table 9.)"
HED_0042074	Sleep-related-episode	1	Episode	"suggestedTag=Feature-significance-to-recording, suggestedTag=Episode-consciousness-affected, suggestedTag=Episode-awareness, suggestedTag=Episode-prodrome, suggestedTag=Episode-tongue-biting, annotation=dc:source Beniczky ea 2017 Table 9."	
HED_0042075	Sleep-related-arousal	2	Sleep-related-episode	annotation=dc:source Beniczky ea 2017 Table 9.	Normal arousal. 
HED_0042076	Benign-sleep-myoclonus	2	Sleep-related-episode	"annotation=dc:source Beniczky ea 2017 Table 9, annotation=dc:source Beniczky ea 2013 Appendix S5."	"A distinctive disorder of sleep characterized by a) neonatal onset, b) rhythmic myoclonic jerks only during sleep and c) abrupt and consistent cessation with arousal, d) absence of concomitant electrographic changes suggestive of seizures, and e) good outcome."
HED_0042077	Confusional-arousal	2	Sleep-related-episode	"annotation=dc:source Beniczky ea 2017 Table 9, annotation=dc:source Beniczky ea 2013 Appendix S5."	"Episode of non epileptic nature included in NREM parasomnias, characterized by sudden arousal and complex behavior but without full alertness, usually lasting a few minutes and occurring almost in all children at least occasionally. Amnesia of the episode is the rule."
HED_0042078	Cataplexy	2	Sleep-related-episode	"suggestedTag=Feature-significance-to-recording, suggestedTag=Episode-consciousness-affected, suggestedTag=Episode-awareness, suggestedTag=Episode-prodrome, suggestedTag=Episode-tongue-biting, annotation=dc:source Beniczky ea 2017 Table 9, annotation=dc:source Beniczky ea 2013 Appendix S5."	"A sudden decrement in muscle tone and loss of deep tendon reflexes, leading to muscle weakness, paralysis, or postural collapse. Cataplexy usually is precipitated by an outburst of emotional expression-notably laughter, anger, or startle. It is one of the tetrad of symptoms of narcolepsy. During cataplexy, respiration and voluntary eye movements are not compromised. Consciousness is preserved. "
HED_0042079	Sleep-periodic-limb-movement	2	Sleep-related-episode	"annotation=dc:source Beniczky ea 2017 Table 9,  annotation=dc:source Beniczky ea 2013, Appendix S5."	"PLMS. Periodic limb movement in sleep. Episodes are characterized by brief (0.5- to 5.0-second) lower-extremity movements during sleep, which typically occur at 20- to 40-second intervals, most commonly during the first 3 hours of sleep. The affected individual is usually not aware of the movements or of the transient partial arousals. "
HED_0042080	REM-sleep-behavioral-disorder	2	Sleep-related-episode	"annotation=dc:source Beniczky ea 2017 Table 9, annotation=dc:source Beniczky ea 2013 Appendix S5."	"REM sleep behavioral disorder. Episodes characterized by: a) presence of REM sleep without atonia (RSWA) on polysomnography (PSG); b) presence of at least 1 of the following conditions - (1) Sleep-related behaviors, by history, that have been injurious, potentially injurious, or disruptive (example: dream enactment behavior); (2) abnormal REM sleep behavior documented during PSG monitoring; (3) absence of epileptiform activity on electroencephalogram (EEG) during REM sleep (unless RBD can be clearly distinguished from any concurrent REM sleep-related seizure disorder); (4) sleep disorder not better explained by another sleep disorder, a medical or neurologic disorder, a mental disorder, medication use, or a substance use disorder. (Source: Beniczky ea 2017, Table 9; Beniczky ea 2013, Appendix S5.)"
HED_0042081	Sleep-walking	2	Sleep-related-episode	"annotation=dc:source Beniczky ea 2017 Table 9, annotation=dc:source  Beniczky ea 2013 Appendix S5."	"Episodes characterized by ambulation during sleep; the patient is difficult to arouse during an episode, and is usually amnesic following the episode. Episodes usually occur in the first third of the night during slow wave sleep. Polysomnographic recordings demonstrate 2 abnormalities during the first sleep cycle: frequent, brief, non-behavioral EEG-defined arousals prior to the somnambulistic episode and abnormally low gamma (0.75-2.0 Hz) EEG power on spectral analysis, correlating with high-voltage (hyper-synchronic gamma) waves lasting 10 to 15 s occurring just prior to the movement. This is followed by stage I NREM sleep, and there is no evidence of complete awakening. (Source: Beniczky ea 2017, Table 9; Beniczky ea 2013, Appendix S5.)"
HED_0042082	Pediatric-episode	1	Episode	"suggestedTag=Feature-significance-to-recording, suggestedTag=Episode-consciousness-affected, suggestedTag=Episode-awareness, suggestedTag=Episode-prodrome, suggestedTag=Episode-tongue-biting, annotation=dc:source Beniczky ea 2017 Table 9."	
HED_0042083	Hyperekplexia	2	Pediatric-episode	"annotation=dc:source Beniczky ea 2017 Table 9, annotation=dc:source Beniczky ea 2013 Appendix S5."	"Disorder characterized by exaggerated startle response and hypertonicity that may occur during the first year of life and in severe cases during the neonatal period. Children usually present with marked irritability and recurrent startles in response to handling and sounds. Severely affected infants can have severe jerks and stiffening, sometimes with breath-holding spells."
HED_0042084	Jactatio-capitis-nocturna	2	Pediatric-episode		"Relatively common in normal children at the time of going to bed, especially during the first year of life, the rhythmic head movements persist during sleep. Usually, these phenomena disappear before 3 years of age. (Source: Beniczky ea 2017, Table 9; Beniczky ea 2013, Appendix S5.)"
HED_0042085	Pavor-nocturnus	2	Pediatric-episode		"A nocturnal episode characterized by age of onset of less than five years (mean age 18 months, with peak prevalence at five to seven years), appearance of signs of panic two hours after falling asleep with crying, screams, a fearful expression, inability to recognize other people including parents (for a duration of 5-15 minutes), amnesia upon awakening. Pavor nocturnus occurs in patients almost every night for months or years (but the frequency is highly variable and may be as low as once a month) and is likely to disappear spontaneously at the age of six to eight years. (Source: Beniczky ea 2017, Table 9; Beniczky ea 2013, Appendix S5.)"
HED_0042086	Pediatric-stereotypical-behavior-episode	2	Pediatric-episode		"Repetitive motor behavior in children, typically rhythmic and persistent; usually not paroxysmal and rarely suggest epilepsy. They include headbanging, head-rolling, jactatio capitis nocturna, body rocking, buccal or lingual movements, hand flapping and related mannerisms, repetitive hand-waving (to self-induce photosensitive seizures).(Source: Beniczky ea 2017, Table 9; Beniczky ea 2013, Appendix S5.)"
HED_0042087	Paroxysmal-motor-event	1	Episode	"suggestedTag=Feature-significance-to-recording, suggestedTag=Episode-consciousness-affected, suggestedTag=Episode-awareness, suggestedTag=Episode-prodrome, suggestedTag=Episode-tongue-biting"	"Paroxysmal phenomena during neonatal or childhood periods characterized by recurrent motor or behavioral signs or symptoms that must be distinguished from epileptic disorders. (Source: Beniczky ea 2017, Table 9; Beniczky ea 2013, Appendix S5.)"
HED_0042088	Syncope	1	Episode	"suggestedTag=Feature-significance-to-recording, suggestedTag=Episode-consciousness-affected, suggestedTag=Episode-awareness, suggestedTag=Episode-prodrome, suggestedTag=Episode-tongue-biting"	"Episode with loss of consciousness and muscle tone that is abrupt in onset, of short duration and followed by rapid recovery; it occurs in response to transient impairment of cerebral perfusion. Typical prodromal symptoms often herald onset of syncope and postictal symptoms are minimal. Syncopal convulsions resulting from cerebral anoxia are common but are not a form of epilepsy, nor are there any accompanying EEG ictal discharges. (Source: Beniczky ea 2017, Table 9; Beniczky ea 2013, Appendix S5.)"
HED_0042089	Other-episode	1	Episode	requireChild	
HED_0042090	Other-episode-#	2	Other-episode	"takesValue, valueClass=textClass"	Free text.
HED_0042091	Feature-property	0	HedTag		Descriptive element similar to main HED /Property. Something that pertains to a thing. A characteristic of some entity. A quality or feature regarded as a characteristic or inherent part of someone or something. HED attributes are adjectives or adverbs.
HED_0042092	Signal-morphology-property	1	Feature-property		"Signal morphology attributes relevant to features of background, interictal or ictal activity. (Source: Beniczky ea 2017, Table 5, Table 8, Table 12.)"
HED_0042093	Rhythmic-property	2	Signal-morphology-property		"Rhythmic activity can be observed during background, interictal or ictal activity and HED-SCORE therefore describes this as an property/attribute. (Source: Beniczky ea 2017, Table 5, Table 12, Table 14.)"
HED_0042094	Delta-activity	3	Rhythmic-property	"suggestedTag=Feature-frequency, suggestedTag=Feature-amplitude"	"Rhythmic activity in the delta frequency range (under 4 Hz). (Source: Beniczky ea 2017, Table 5; Beniczky ea 2013, Appendix S2, S6.)"
HED_0042095	Delta-activity-#	4	Delta-activity	"takesValue, valueClass=textClass"	Free text.
HED_0042096	Theta-activity	3	Rhythmic-property	"suggestedTag=Feature-frequency, suggestedTag=Feature-amplitude"	"Rhythmic activity in the theta frequency range (4-8 Hz). (Source: Beniczky ea 2017, Table 5; Beniczky ea 2013, Appendix S2, S6.)"
HED_0042097	Theta-activity-#	4	Theta-activity	"takesValue, valueClass=textClass"	Free text.
HED_0042098	Alpha-activity	3	Rhythmic-property	"suggestedTag=Feature-frequency, suggestedTag=Feature-amplitude"	"Rhythmic activity in the alpha frequency range (8-13 Hz), but not a part of the posterior dominant rhythm. (Source: Beniczky ea 2017, Table 5; Beniczky ea 2013, Appendix S2, S6.)"
HED_0042099	Alpha-activity-#	4	Alpha-activity	"takesValue, valueClass=textClass"	Free text.
HED_0042100	Beta-activity	3	Rhythmic-property	"suggestedTag=Feature-frequency, suggestedTag=Feature-amplitude"	"Rhythmic activity in the beta frequency range (14-40 Hz). (Source: Beniczky ea 2017, Table 5; Beniczky ea 2013, Appendix S2, S6.)"
HED_0042101	Beta-activity-#	4	Beta-activity	"takesValue, valueClass=textClass"	Free text.
HED_0042102	Gamma-activity	3	Rhythmic-property	"suggestedTag=Feature-frequency, suggestedTag=Feature-amplitude"	"Rhythmic activity in the gamma frequency range. (Source: Beniczky ea 2017, Table 5.)"
HED_0042103	Gamma-activity-#	4	Gamma-activity	"takesValue, valueClass=textClass"	Free text.
HED_0042104	Polymorphic-delta-activity	3	Rhythmic-property		"EEG activity consisting of waves in the delta range (over 250 ms duration for each wave) but of different morphology. (Source: Beniczky ea 2017, Table 5; Beniczky ea 2013, Appendix S4.)"
HED_0042105	Polymorphic-delta-activity-#	4	Polymorphic-delta-activity	"takesValue, valueClass=textClass"	Free text.
HED_0042106	Frontal-intermittent-rhythmic-delta-activity	3	Rhythmic-property		"Frontal intermittent rhythmic delta activity (FIRDA). Fairly regular or approximately sinusoidal waves, mostly occurring in bursts at 1.5-2.5 Hz over the frontal areas of one or both sides of the head. Comment: most commonly associated with unspecified encephalopathy, in adults. (Source: Beniczky ea 2017, Table 5; Beniczky ea 2013, Appendix S4.)"
HED_0042107	Frontal-intermittent-rhythmic-delta-activity-#	4	Frontal-intermittent-rhythmic-delta-activity	"takesValue, valueClass=textClass"	Free text.
